Risk Factor,"Baseline Shock (2-4 weeks, limited Hormuz snarl)",Baseline Rationale,"Adverse Shock (1-3 months, significant Hormuz closure)",Adverse Rationale,"Severe Shock (>3 months, full escalation + infrastructure damage)",Severe Rationale
Brent Crude Oil Price,Peak $85–95/bbl (already partially realized); normalizes to $70–75/bbl by end-2026,Short-lived disruption + quick naval escorts / OPEC+ adjustment limits sustained supply loss; backwardation pricing already reflects transience,Sustained ~$100/bbl; year-end ~$70/bbl after adaptation,"Prolonged shipping halts (200+ vessels) + partial production impact create multi-month tightness; adaptation (SPR draws, rerouting) caps long-term level",Peak >$130/bbl; consolidates to ~$80/bbl by end-2026,Full Hormuz blockade + Iranian asset damage removes 4–6% global supply for extended period; correlated LNG/gas crisis amplifies energy shock
Oil Implied Volatility (30-day Brent),50–60% (elevated short-term),Geopolitical risk premium spikes but fades rapidly with de-escalation signals,60–70% sustained,Ongoing uncertainty around Hormuz flows and counterstrikes keeps option pricing elevated,>70–80% (extreme),Tail-risk infrastructure / regime instability triggers panic hedging and inverted vol term structure
"Inflation Impact (global CPI, short-term pp)",+0.1–0.3 pp,Modest energy + freight pass-through (~0.1–0.2 pp per 10% oil move); quick normalization prevents de-anchoring,+0.5 pp+ (possible 2022-style pressures),Sustained cost-push from oil + shipping cascade + EM subsidy strains de-anchor expectations,+1.0 pp+ (aggressive de-anchoring),Multi-month energy crisis + global freight insurance surge creates broad-based wage-price spiral
US 10-Year Treasury Yield,~4.3% (mild term-premia rise; Fed delays 1–2 cuts),Limited inflation pass-through allows partial easing; policy trade-off contained,~4.5%+ (bear steepening),Persistent inflation forces Fed/ECB to hold rates higher; term premia rebuild on growth-inflation tension,5.0% (strong term-premia rebuild),Price spiral + recession fears trigger aggressive nominal yield repricing; bonds lose safe-haven status
Global Equities (MSCI World / S&P 500 initial move),–5% to –10% (energy/defense +10–20%; airlines/transport –10–15%),Short shock → contained real-income drag + valuation compression; sectoral rotation offsets broad decline,–10% to –15% (cyclicals/airlines –20%+),Prolonged inflation-growth trade-off + EM spillovers trigger risk-off deleveraging,–20%+ (broad risk-off; tech mixed-to-down),Recessionary GDP hit + liquidity crunch + higher discount rates cause valuation collapse despite energy gains
USD Index (DXY % change),+2% to +4%,Modest safe-haven + energy hedging flows,+5% to +8%,Capital outflows from EM importers + higher U.S. rates widen differentials,+10%+ (strong flight-to-safety),Systemic risk-off + funding gaps drive USD scarcity; European dealer strains amplify
EM Currencies (average depreciation vs USD),–3% to –6%,Mild current-account widening (~40–60 bp per 10% oil rise) + limited outflows,–8% to –12%,Larger deficits + accelerated capital flight + policy paralysis,–15%+,Thin reserves in vulnerable EM + sovereign stress trigger sudden-stop dynamics
Market Volatility (VIX level),20–25,Temporary geopolitical premium; quick de-escalation caps equity vol,>25 sustained,Prolonged uncertainty + policy uncertainty keep risk aversion elevated,Sharply elevated (30+) with inverted term structure,"Tail-risk escalation + cross-asset spillovers (credit, FX) drive panic hedging"
IG Corporate Credit Spreads (widening / level),Mild widening (~85 bps baseline level),Contained growth drag + strong corporate buffers limit default risk,Wider than 85 bps (to 100–120 bps range),Higher input costs + refinancing stress in transport/petrochemical sectors pressure coverage ratios,To 125 bps+,Recession + liquidity shortfalls + bank NPL rise trigger broad credit repricing
"Global GDP Growth Drag (pp, 2026 impact)",Negligible (0–0.2 pp),Short duration + strategic reserves cushion real-income erosion,0.5 pp drag (recession risks emerge in Asia),Sustained inflation → delayed easing → investment/consumption compression,Recessionary (–1.0 pp or more),Full supply shock + policy paralysis + EM contagion create structural growth scarring
