Risk Factor (Futures Mapping),"Baseline Shock (2-4 weeks, limited Hormuz snarl)",Baseline Rationale,"Adverse Shock (1-3 months, significant Hormuz closure)",Adverse Rationale,"Severe Shock (>3 months, full escalation + infrastructure damage)",Severe Rationale
Brent / WTI Crude Oil Futures Price,Peak +0–2% (to $93–95/bbl); normalizes –18% to –22% to $70–75/bbl by end-2026,Short-lived disruption already priced; quick naval escorts / OPEC+ adjustment → rapid mean-reversion in futures curve,+7–10% sustained (to ~$100/bbl); year-end –25% reversion to ~$70/bbl,Prolonged shipping halts + partial production loss keep front-month futures elevated; SPR draws cap long end,+35–45% peak (to >$130/bbl); consolidates –35% to ~$80/bbl,Full blockade + asset damage removes multi-million bbl/day; front-month futures spike hardest
Oil Implied Volatility (30-day Brent futures options),50–60%,Geopolitical premium spikes then decays with de-escalation,60–70% sustained,Ongoing Hormuz uncertainty inflates option premiums across curve,">70–80% (extreme, inverted term structure)",Panic hedging + regime-risk tail events drive vol-of-vol spike
"Inflation Impact (global CPI, short-term pp)",+0.1–0.3 pp,Modest energy + freight pass-through; quick normalization,+0.5 pp+,Sustained cost-push + EM subsidy strains,+1.0 pp+ (de-anchoring),Multi-month energy crisis creates wage-price spiral (indirect input to rates/equity assumptions)
US 10-Year Treasury Yield (10y Note / Ultra futures),Level 4.3% (+0–10 bp term-premia rise; Fed delays 1–2 cuts),Limited inflation pass-through → contained policy shift,Level 4.5%+ (+20–30 bp bear steepening),Persistent inflation forces hold-higher stance,Level 5.0% (+70–80 bp strong term-premia rebuild),Price spiral + recession fears trigger aggressive repricing; bonds lose hedge value
"Global Equity Index Futures (S&P 500 E-mini, Nasdaq, Eurostoxx, Nikkei)",–5% to –10% initial move (energy/defense sectors +10–20%; transport –10–15%),Short shock → contained income drag + sectoral rotation,–10% to –15% (cyclicals/airlines –20%+),Inflation-growth trade-off + EM spillovers,–20%+ broad risk-off (tech mixed-to-down),Recessionary hit + liquidity crunch + higher discount rates collapse valuations
USD Index Futures (DXY basket: 6 major FX futures),+2% to +4%,Modest safe-haven + energy-hedge flows,+5% to +8%,EM outflows + higher US rates widen differentials,+10%+ (strong flight-to-safety),Systemic risk-off + funding gaps create USD scarcity
"EM Currency Futures (proxy via USD/INR, USD/BRL, USD/ZAR, etc.)",–3% to –6% depreciation vs USD,Mild current-account widening + limited outflows,–8% to –12%,Larger deficits + accelerated capital flight,–15%+,Thin reserves + sudden-stop dynamics in vulnerable EM
VIX Futures / Volatility Index,20–25,Temporary geopolitical premium; quick de-escalation caps,>25 sustained,Prolonged uncertainty keeps risk aversion high,30+ with inverted term structure,Tail-risk escalation + cross-asset spillovers drive panic hedging
IG Corporate Credit Spreads (CDX.NA.IG or iTraxx Europe futures proxy),Mild widening (stays ~85 bps baseline level),Contained growth drag + strong buffers,Wider to 100–120 bps,Higher input costs + refinancing stress,Widen to 125 bps+,Recession + liquidity shortfalls + bank NPL rise trigger broad repricing
"Global GDP Growth Drag (pp, 2026 impact – macro overlay only)",Negligible (0–0.2 pp),Short duration + reserves cushion,0.5 pp drag (Asia recession risks),Sustained inflation → delayed easing,Recessionary (–1.0 pp or more),Full supply shock + policy paralysis + EM contagion (used only to calibrate equity/rates correlations)
